MAPK signaling pathway	- hsa04010
Vascular smooth muscle contraction	- hsa04270
Salivary secretion	- hsa04970
Gastric acid secretion	- hsa04971
Pancreatic secretion	- hsa04972
Bile secretion	- hsa04976
Carbohydrate digestion and absorption	- hsa04973
Protein digestion and absorption	- hsa04974
Fat digestion and absorption	- hsa04975
Cholesterol metabolism	- hsa04979
Vitamin digestion and absorption	- hsa04977
Mineral absorption	- hsa04978
Vasopressin-regulated water reabsorption	- hsa04962
Aldosterone-regulated sodium reabsorption	- hsa04960
Endocrine and other factor-regulated calcium reabsorption	- hsa04961
Proximal tubule bicarbonate reclamation	- hsa04964
Collecting duct acid secretion	- hsa04966
Glutamatergic synapse	- hsa04724
GABAergic synapse	- hsa04727
Cholinergic synapse	- hsa04725
Dopaminergic synapse	- hsa04728
Serotonergic synapse	- hsa04726
Long-term potentiation	- hsa04720
Long-term depression	- hsa04730
Retrograde endocannabinoid signaling	- hsa04723
Synaptic vesicle cycle	- hsa04721
Neurotrophin signaling pathway	- hsa04722
Phototransduction	- hsa04744
Olfactory transduction	- hsa04740
Taste transduction	- hsa04742
Inflammatory mediator regulation of TRP channels	- hsa04750
Axon guidance	- hsa04360
Osteoclast differentiation	- hsa04380
Longevity regulating pathway	- hsa04211
Longevity regulating pathway - multiple species	- hsa04213
Circadian rhythm	- hsa04710
Circadian entrainment	- hsa04713
Thermogenesis	- hsa04714
Pathways in cancer	- hsa05200  [Disease]
Transcriptional misregulation in cancer	- hsa05202  [Disease]
MicroRNAs in cancer	- hsa05206  [Disease]
Proteoglycans in cancer	- hsa05205  [Disease]
Chemical carcinogenesis	- hsa05204  [Disease]
Viral carcinogenesis	- hsa05203  [Disease]
Central carbon metabolism in cancer	- hsa05230  [Disease]
Choline metabolism in cancer	- hsa05231  [Disease]
PD-L1 expression and PD-1 checkpoint pathway in cancer	- hsa05235  [Disease]
Colorectal cancer	- hsa05210  [Disease]
Pancreatic cancer	- hsa05212  [Disease]
Hepatocellular carcinoma	- hsa05225  [Disease]
Gastric cancer	- hsa05226  [Disease]
Glioma	- hsa05214  [Disease]
Thyroid cancer	- hsa05216  [Disease]
Acute myeloid leukemia	- hsa05221  [Disease]
Chronic myeloid leukemia	- hsa05220  [Disease]
Basal cell carcinoma	- hsa05217  [Disease]
Melanoma	- hsa05218  [Disease]
Renal cell carcinoma	- hsa05211  [Disease]
Bladder cancer	- hsa05219  [Disease]
Prostate cancer	- hsa05215  [Disease]
Endometrial cancer	- hsa05213  [Disease]
Breast cancer	- hsa05224  [Disease]
Small cell lung cancer	- hsa05222  [Disease]
Non-small cell lung cancer	- hsa05223  [Disease]
Asthma	- hsa05310  [Disease]
Systemic lupus erythematosus	- hsa05322  [Disease]
Rheumatoid arthritis	- hsa05323  [Disease]
Autoimmune thyroid disease	- hsa05320  [Disease]
Inflammatory bowel disease	- hsa05321  [Disease]
Allograft rejection	- hsa05330  [Disease]
Graft-versus-host disease	- hsa05332  [Disease]
Primary immunodeficiency	- hsa05340  [Disease]
Alzheimer disease	- hsa05010  [Disease]
Parkinson disease	- hsa05012  [Disease]
Amyotrophic lateral sclerosis	- hsa05014  [Disease]
Huntington disease	- hsa05016  [Disease]
Spinocerebellar ataxia	- hsa05017  [Disease]
Prion disease	- hsa05020  [Disease]
Pathways of neurodegeneration - multiple diseases	- hsa05022  [Disease]
Cocaine addiction	- hsa05030  [Disease]
Amphetamine addiction	- hsa05031  [Disease]
Morphine addiction	- hsa05032  [Disease]
Nicotine addiction	- hsa05033  [Disease]
Alcoholism	- hsa05034  [Disease]
Fluid shear stress and atherosclerosis	- hsa05418  [Disease]
Hypertrophic cardiomyopathy	- hsa05410  [Disease]
Arrhythmogenic right ventricular cardiomyopathy	- hsa05412  [Disease]
Dilated cardiomyopathy	- hsa05414  [Disease]
Viral myocarditis	- hsa05416  [Disease]
Type II diabetes mellitus	- hsa04930  [Disease]
Type I diabetes mellitus	- hsa04940  [Disease]
Maturity onset diabetes of the young	- hsa04950  [Disease]
Non-alcoholic fatty liver disease	- hsa04932  [Disease]
Insulin resistance	- hsa04931  [Disease]
AGE-RAGE signaling pathway in diabetic complications	- hsa04933  [Disease]
Cushing syndrome	- hsa04934  [Disease]
Vibrio cholerae infection	- hsa05110  [Disease]
Epithelial cell signaling in Helicobacter pylori infection	- hsa05120  [Disease]
Pathogenic Escherichia coli infection	- hsa05130  [Disease]
Salmonella infection	- hsa05132  [Disease]
Shigellosis	- hsa05131  [Disease]
Yersinia infection	- hsa05135  [Disease]
Pertussis	- hsa05133  [Disease]
Legionellosis	- hsa05134  [Disease]
Staphylococcus aureus infection	- hsa05150  [Disease]
Tuberculosis	- hsa05152  [Disease]
Bacterial invasion of epithelial cells	- hsa05100  [Disease]
Human T-cell leukemia virus 1 infection	- hsa05166  [Disease]
Human immunodeficiency virus 1 infection	- hsa05170  [Disease]
Measles	- hsa05162  [Disease]
Influenza A	- hsa05164  [Disease]
Hepatitis B	- hsa05161  [Disease]
Hepatitis C	- hsa05160  [Disease]
Herpes simplex virus 1 infection	- hsa05168  [Disease]
Human cytomegalovirus infection	- hsa05163  [Disease]
Kaposi sarcoma-associated herpesvirus infection	- hsa05167  [Disease]
Epstein-Barr virus infection	- hsa05169  [Disease]
Human papillomavirus infection	- hsa05165  [Disease]
Amoebiasis	- hsa05146  [Disease]
Malaria	- hsa05144  [Disease]
Toxoplasmosis	- hsa05145  [Disease]
Leishmaniasis	- hsa05140  [Disease]
Chagas disease	- hsa05142  [Disease]
African trypanosomiasis	- hsa05143  [Disease]
EGFR tyrosine kinase inhibitor resistance	- hsa01521  [Disease]
Platinum drug resistance	- hsa01524  [Disease]
Antifolate resistance	- hsa01523  [Disease]
Endocrine resistance	- hsa01522  [Disease]
